Name,PM
Rhytidoponera_tasmaniensis,1
Rhytidoponera_trachypyx,1
Rhytidoponera_turneri,1
Rhytidoponera_victoriae,1
Rhytidoponera_violacea,1
Solenopsis_aurea,1
Solenopsis_carolinensis,1
Solenopsis_fugax,1
Solenopsis_geminata,1
Solenopsis_globularia,1
Solenopsis_invicta,1
Solenopsis_japonica,1
Solenopsis_richteri,1
Solenopsis_saevissima,1
Solenopsis_tenuis,1
Solenopsis_xyloni,1
Tapinoma_erraticum,1
Tapinoma_melanocephalum,1
Tapinoma_nigerrimum,1
Tapinoma_sessile,1
Tapinoma_subtile,1
Technomyrmex_albipes,1
Temnothorax_crassispinus,1
Temnothorax_curvispinosus,1
Temnothorax_longispinosus,1
Temnothorax_nylanderi,1
Temnothorax_racovitzai,1
Temnothorax_unifasciatus,1
Tetramorium_aculeatum,1
Tetramorium_bicarinatum,1
Tetramorium_caespitum,1
Tetramorium_forte,1
Tetramorium_hispidum,1
Tetramorium_impressum,1
Tetramorium_kraepelini,1
Tetramorium_lanuginosum,1
Tetramorium_quadrispinosum,1
Tetramorium_semilaeve,1
Tetramorium_simillimum,1
Tetramorium_striolatum,1
Tetramorium_tsushimae,1
Tetramorium_turneri,1
Tetraponera_aethiops,1
Tetraponera_ambigua,1
Tetraponera_penzigi,1
Tetraponera_tessmanni,1
Trachymyrmex_septentrionalis,1
Veromessor_andrei,1
Veromessor_capensis,1
Veromessor_pergandei,1
Vombisidris_humboldticola,1
Wasmannia_auropunctata,1
Acanthognathus_brevicornis,0
Acanthognathus_ocellatus,0
Acanthognathus_rudis,0
Acanthognathus_teledectus,0
Acanthomyrmex_ferox,0
Acanthomyrmex_glabfemoralis,0
Acanthomyrmex_humilis,0
Acanthomyrmex_luciolae,0
Acanthomyrmex_thailandensis,0
Acanthoponera_mucronata,0
Acanthostichus_brevicornis,0
Acanthostichus_fuscipennis,0
Acanthostichus_longinodis,0
Acanthostichus_quadratus,0
Acanthostichus_serratulus,0
Acromyrmex_ambiguus,0
Acromyrmex_ameliae,0
Acromyrmex_aspersus,0
Acromyrmex_balzani,0
Acromyrmex_coronatus,0
Acromyrmex_crassispinus,0
Acromyrmex_disciger,0
Acromyrmex_echinatior,0
Acromyrmex_heyeri,0
Acromyrmex_hispidus,0
Acromyrmex_insinuator,0
Acromyrmex_landolti,0
Acromyrmex_laticeps,0
Acromyrmex_lundii,0
Acromyrmex_nobilis,0
Acromyrmex_rugosus,0
Acromyrmex_versicolor,0
Acromyrmex_volcanus,0
Acropyga_acutiventris,0
Acropyga_arnoldi,0
Acropyga_ayanganna,0
Acropyga_bakwele,0
Acropyga_decedens,0
Acropyga_epedana,0
Acropyga_exsanguis,0
Acropyga_fuhrmanni,0
Acropyga_goeldii,0
Acropyga_gowdeyi,0
Acropyga_kinomurai,0
Acropyga_myops,0
Acropyga_nipponensis,0
Acropyga_paleartica,0
Acropyga_sauteri,0
Adelomyrmex_betoi,0
Adelomyrmex_brenesi,0
Adelomyrmex_laevigatus,0
Adelomyrmex_myops,0
Adelomyrmex_tristani,0
Adetomyrma_venatrix,0
Adlerzia_froggatti,0
Aenictogiton_fossiceps,0
Aenictus_appressipilosus,0
Aenictus_arabicus,0
Aenictus_aratus,0
Aenictus_asantei,0
Aenictus_baliensis,0
Aenictus_binghami,0
Aenictus_bobaiensis,0
Aenictus_brevipodus,0
Aenictus_camposi,0
Aenictus_ceylonicus,0
Aenictus_changmaianus,0
Aenictus_concavus,0
Aenictus_congolensis,0
Aenictus_currax,0
Aenictus_cylindripetiolus,0
Aenictus_decolor,0
Aenictus_dentatus,0
Aenictus_dlusskyi,0
Aenictus_doryloides,0
Aenictus_eguchii,0
Aenictus_eugenii,0
Aenictus_fergusoni,0
Aenictus_fuchuanensis,0
Aenictus_glabratus,0
Aenictus_gonioccipus,0
Aenictus_gracilis,0
Aenictus_gutianshanensis,0
Aenictus_hodgsoni,0
Aenictus_hottai,0
Aenictus_idoneus,0
Aenictus_indicus,0
Aenictus_itoi,0
Aenictus_javanus,0
Aenictus_jawadwipa,0
Aenictus_khaoyaiensis,0
Aenictus_kutai,0
Aenictus_laeviceps,0
Aenictus_latifemoratus,0
Aenictus_lifuiae,0
Aenictus_longicephalus,0
Aenictus_maneerati,0
Aenictus_minipetiolus,0
Aenictus_minutulus,0
Aenictus_pachycerus,0
Aenictus_pangantihoni,0
Aenictus_paradentatus,0
Aenictus_philippinensis,0
Aenictus_piercei,0
Aenictus_pilosus,0
Aenictus_pinkaewi,0
Aenictus_rabori,0
Aenictus_rhodiensis,0
Aenictus_rixator,0
Aenictus_rotundatus,0
Aenictus_silvestrii,0
Aenictus_stenocephalus,0
Aenictus_sulawesiensis,0
Aenictus_sundalandensis,0
Aenictus_thailandianus,0
Aenictus_turneri,0
Aenictus_vieti,0
Aenictus_watanasiti,0
Aenictus_wilaiae,0
Aenictus_wilsoni,0
Aenictus_wiwatwitayai,0
Aenictus_wroughtonii,0
Aenictus_wudangshanensis,0
Aenictus_yamanei,0
