generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1630000,35,125.489,-3363.47,24.5855,0.3564
1640000,29,105.001,-3381.44,14.5537,0.3527
1650000,25,84.637,-3374.76,14.6704,0.328586
1660000,25,88.4196,-3400.68,14.1221,0.325967
1670000,26,89.9695,-3390.38,14.6281,0.3206
1680000,33,106.293,-3363.06,22.2035,0.339767
1690000,23,79.8901,-3406.22,10.8917,0.3389
1700000,27,94.6788,-3376.5,14.907,0.33025
1710000,34,118.039,-3385.92,22.1571,0.32235
1720000,32,98.8932,-3374.27,21.1811,0.329011
1730000,33,117.466,-3360.98,15.7986,0.3426
1740000,31,109.731,-3397.84,15.1246,0.33394
1750000,31,108.218,-3380.71,18.0599,0.343167
1760000,35,127.777,-3367.71,17.1823,0.342733
1770000,27,89.5079,-3385.95,13.324,0.3337
1780000,31,102.02,-3363.49,13.8177,0.3425
1790000,29,101.256,-3362.47,12.3011,0.3377
1800000,29,94.0127,-3367.97,12.9718,0.3217
1810000,31,106.789,-3380.2,19.5508,0.33958
1820000,31,112.268,-3389.53,9.58835,0.33172
1830000,27,93.5662,-3382.92,12.4417,0.3469
1840000,25,79.1387,-3377.33,12.8955,0.326756
1850000,26,78.8533,-3382.38,14.7215,0.3268
1860000,28,90.3967,-3362.93,16.5159,0.3207
1870000,32,100.76,-3396.14,14.024,0.33115
1880000,30,97.9076,-3401.93,14.7562,0.3377
1890000,26,85.6152,-3377.95,13.4187,0.3207
1900000,28,93.2056,-3362.06,11.352,0.333233
1910000,30,104.744,-3377.33,16.7036,0.3317
1920000,30,107.936,-3387.15,12.6817,0.3355
1930000,25,81.111,-3367.62,10.3634,0.310967
1940000,29,100.318,-3372.57,13.4852,0.326638
1950000,24,86.2965,-3403.42,11.4344,0.341233
1960000,31,99.1403,-3390.85,16.8995,0.3267
1970000,38,115.674,-3361.42,23.5239,0.336167
1980000,35,111.841,-3356.75,15.7883,0.3338
1990000,31,102.113,-3376.34,16.622,0.3513
2000000,26,69.4183,-3391.79,14.802,0.35198
2010000,32,104.542,-3357.27,16.5344,0.328733
2020000,32,114.016,-3358.33,14.0919,0.3382
2030000,26,83.9386,-3367.97,17.7257,0.33097
2040000,24,81.2758,-3426.55,9.17604,0.3288
2050000,25,79.7146,-3375.81,12.6214,0.32345
2060000,21,70.6258,-3417.75,11.0545,0.3241
2070000,36,115.192,-3364.73,18.9162,0.34152
2080000,32,105.638,-3360.96,13.4677,0.3455
2090000,35,94.0473,-3350.41,18.8561,0.3469
2100000,29,97.3562,-3363.53,14.1315,0.3353
2110000,27,78.3242,-3357.02,16.3795,0.3248
2120000,27,88.7189,-3368.95,12.5032,0.322271
2130000,29,111.26,-3387.05,8.91906,0.341357
2140000,30,101.106,-3365.27,11.8979,0.3227
2150000,29,98.2343,-3369.75,12.8144,0.3225
2160000,30,99.388,-3370.6,15.7798,0.3294
2170000,25,83.2625,-3371.46,14.3441,0.318133
2180000,29,80.6471,-3356.83,17.6243,0.3086
2190000,32,123.849,-3376.85,10.6787,0.3393
2200000,27,94.8643,-3364.85,12.7718,0.336
2210000,25,83.5767,-3388.96,10.6024,0.333112
2220000,25,93.421,-3387.03,10.4741,0.341
