,i,lambda0,lambda1,mu0,mu1,q01,q10,p,div0,div1
69,69,0.128933056,0.533979317,0.135249645,0.119062688,0.007905285,0.438030543,-3829.573469,-0.006316589,0.414916629
70,70,0.132828721,0.532383864,0.140829921,0.120047328,0.007833204,0.442208591,-3830.140496,-0.008001199,0.412336536
71,71,0.13083068,0.535261514,0.138079135,0.114307275,0.00925062,0.457748899,-3828.7962,-0.007248455,0.420954239
72,72,0.121911798,0.541424735,0.131394404,0.10930218,0.009835755,0.478116938,-3830.476562,-0.009482605,0.432122554
73,73,0.122624549,0.551324769,0.135724661,0.11060642,0.010158509,0.47702004,-3830.112114,-0.013100112,0.440718349
74,74,0.139426571,0.55184068,0.16458217,0.117634744,0.010902936,0.472735381,-3832.77264,-0.025155599,0.434205936
75,75,0.139385282,0.554972213,0.137394165,0.125664178,0.010568401,0.465538295,-3831.384945,0.001991117,0.429308035
76,76,0.123406012,0.552762908,0.131341714,0.124608339,0.010647335,0.466935706,-3829.557088,-0.007935702,0.42815457
77,77,0.121531264,0.54843009,0.121059664,0.126965939,0.011641389,0.462473594,-3830.635887,0.000471601,0.421464151
78,78,0.108369943,0.543462165,0.118957413,0.12856972,0.012630096,0.464519251,-3830.295341,-0.01058747,0.414892444
79,79,0.115498754,0.535346273,0.123602076,0.134810097,0.015317341,0.479245579,-3834.468401,-0.008103321,0.400536175
80,80,0.125212994,0.543700526,0.125691265,0.13834132,0.013274397,0.477502275,-3833.449246,-0.000478271,0.405359206
81,81,0.126553611,0.567206999,0.137903051,0.145873229,0.011768662,0.476562892,-3830.749576,-0.01134944,0.42133377
82,82,0.12844782,0.575213025,0.145655528,0.142426621,0.011165444,0.478882786,-3831.148905,-0.017207708,0.432786405
83,83,0.131648048,0.566711917,0.136771153,0.141395049,0.011627008,0.462769401,-3831.245723,-0.005123105,0.425316868
84,84,0.121853213,0.548222744,0.132051539,0.138511471,0.01236517,0.458257151,-3829.566984,-0.010198326,0.409711273
85,85,0.135204186,0.546920877,0.137386829,0.147807598,0.011782219,0.451647942,-3829.517709,-0.002182643,0.399113279
86,86,0.135851925,0.554541895,0.133098033,0.155145213,0.011057051,0.437648299,-3829.925254,0.002753891,0.399396683
87,87,0.127654908,0.545191138,0.129630034,0.149460243,0.011955814,0.44312978,-3829.047149,-0.001975125,0.395730895
88,88,0.128340807,0.547892614,0.131878874,0.14968883,0.01041984,0.433128523,-3828.391619,-0.003538067,0.398203784
89,89,0.132244534,0.544452589,0.139400151,0.140596562,0.009433741,0.431476719,-3828.509909,-0.007155617,0.403856027
90,90,0.130695803,0.534417005,0.137072675,0.140240983,0.010834251,0.433223126,-3827.867418,-0.006376873,0.394176022
91,91,0.133696156,0.528057923,0.134095433,0.13299181,0.009913488,0.430548553,-3827.741679,-0.000399277,0.395066113
92,92,0.119229493,0.534343936,0.137147906,0.134882316,0.009710656,0.423233884,-3831.343442,-0.017918413,0.39946162
93,93,0.13431925,0.52135936,0.140003275,0.126416852,0.009176777,0.423928569,-3827.241739,-0.005684025,0.394942508
94,94,0.130463635,0.518965994,0.145520714,0.125798845,0.009912279,0.433533692,-3829.652923,-0.015057079,0.393167149
95,95,0.151368042,0.521408364,0.16670514,0.129697501,0.010378021,0.427004588,-3829.337303,-0.015337098,0.391710863
96,96,0.157773231,0.518740269,0.154447631,0.126326065,0.010515695,0.43347095,-3829.612782,0.0033256,0.392414203
97,97,0.144098902,0.530475467,0.161034414,0.13352291,0.010721414,0.435839438,-3829.766564,-0.016935513,0.396952557
98,98,0.145914473,0.528035274,0.152180628,0.138303464,0.009593312,0.405279019,-3830.511036,-0.006266154,0.38973181
99,99,0.141931934,0.505005488,0.1378121,0.127940163,0.008795922,0.401748485,-3827.249002,0.004119834,0.377065325
100,100,0.134015188,0.505050532,0.146005686,0.133072874,0.011035762,0.39915563,-3830.04933,-0.011990498,0.371977658
101,101,0.145742436,0.498802762,0.151474531,0.134851684,0.009450725,0.40758095,-3830.304742,-0.005732095,0.363951079
102,102,0.157456156,0.531600406,0.153850212,0.155240473,0.008819198,0.395749724,-3828.926727,0.003605944,0.376359933
103,103,0.156732216,0.516780122,0.155086704,0.138529765,0.008403002,0.391970194,-3828.588825,0.001645512,0.378250357
104,104,0.14835626,0.514619068,0.153143871,0.143880305,0.008125308,0.394247226,-3827.455851,-0.004787611,0.370738763
105,105,0.148929697,0.517689182,0.151356096,0.147349442,0.008404113,0.396551742,-3827.362237,-0.002426399,0.370339741
106,106,0.149096222,0.518369366,0.146427174,0.148932786,0.009643275,0.395293791,-3827.693659,0.002669048,0.36943658
107,107,0.145906999,0.512220627,0.151524715,0.142003078,0.008327854,0.391691082,-3827.265796,-0.005617716,0.370217549
108,108,0.14693585,0.505863144,0.146597025,0.137625706,0.008009434,0.385911654,-3827.01342,0.000338825,0.368237438
109,109,0.145625106,0.504448904,0.143807185,0.134845952,0.008585251,0.39322891,-3826.877479,0.00181792,0.369602952
110,110,0.136435349,0.505595891,0.139028469,0.132850385,0.008512763,0.393825453,-3826.739984,-0.002593121,0.372745506
111,111,0.139504935,0.502122484,0.144808242,0.131778745,0.010573615,0.410110457,-3827.631926,-0.005303307,0.370343739
112,112,0.142149008,0.511038504,0.148575011,0.132748596,0.010070467,0.408367838,-3827.205432,-0.006426003,0.378289907
113,113,0.1435488,0.5057918,0.148129116,0.133135013,0.009517508,0.392101268,-3827.84714,-0.004580317,0.372656787
114,114,0.142128715,0.492698034,0.138465204,0.12785681,0.009525602,0.384993841,-3827.369669,0.003663511,0.364841224
115,115,0.130465253,0.488316664,0.125125511,0.114092923,0.009757667,0.387375994,-3829.029646,0.005339742,0.37422374
116,116,0.121702518,0.484273531,0.116756338,0.126540952,0.010309815,0.388169351,-3827.250105,0.00494618,0.357732579
117,117,0.122804564,0.49085611,0.112633022,0.137503274,0.012218398,0.397158887,-3830.809457,0.010171543,0.353352835
118,118,0.121325494,0.496343577,0.130015999,0.138554807,0.010158107,0.382964966,-3828.57898,-0.008690506,0.35778877
119,119,0.135145647,0.493392148,0.130435529,0.148759456,0.011505928,0.380777626,-3828.710433,0.004710118,0.344632692
120,120,0.131021505,0.498971153,0.125464738,0.147667263,0.010610265,0.376228829,-3828.061581,0.005556767,0.351303891
121,121,0.122697368,0.490869094,0.133188576,0.148128942,0.01048756,0.370854931,-3830.150452,-0.010491208,0.342740152
122,122,0.142301679,0.49997488,0.13911076,0.167861954,0.009775056,0.345985623,-3829.277558,0.003190918,0.332112926
123,123,0.142848282,0.489523657,0.136390769,0.164106008,0.009368316,0.362933182,-3830.572509,0.006457513,0.325417649
124,124,0.13336459,0.516097958,0.124021121,0.178959426,0.009380016,0.359890761,-3828.345598,0.009343469,0.337138532
125,125,0.129796924,0.517809285,0.137098571,0.179698412,0.009365433,0.364677286,-3829.006664,-0.007301647,0.338110872
126,126,0.13323357,0.526180743,0.139438764,0.180902539,0.008745725,0.368529986,-3828.510354,-0.006205194,0.345278203
127,127,0.14353041,0.525433754,0.144574864,0.175452966,0.010072259,0.392863789,-3829.274866,-0.001044454,0.349980787
128,128,0.142069869,0.527672355,0.137358894,0.161201686,0.009501888,0.385041772,-3828.633907,0.004710976,0.366470669
129,129,0.141112003,0.510517683,0.148297172,0.148557923,0.008664966,0.379020782,-3828.070082,-0.007185169,0.361959761
130,130,0.14163837,0.509912659,0.150672301,0.149666434,0.008340095,0.387980488,-3828.805045,-0.009033931,0.360246225
